"file_name","ref_prompt"
"ref_chinese-ink-paint_A horse", "{prompt} of watercolor style with soft strokes and fluid composition, Plain background"
"ref_cloud_a Cloud in the sky", "{prompt} of hyper-realistic style with soft lighting, Blue sky background"
"ref_digital-art_A robot", "{prompt} of cyberpunk style with neon colors and dark futuristic backdrop, Dark background"
"ref_fire_fire", "{prompt} of realistic style with dynamic flames and high contrast, Black background"
"ref_klimt_the kiss", "{prompt} of Art Nouveau style with golden hues and intricate patterns, Golden background"
"ref_line-art_an owl", "{prompt} of minimalist black and white line art style, Plain background"
"ref_low-poly_A cat", "{prompt} of low-poly style with geometric shapes and modern design, Plain background"
"ref_munch_The scream", "{prompt} of Expressionist style with bold strokes and surreal tones, Abstract background"
"ref_totoro_totoro holding a tiny umbrella in the rain", "{prompt} of Studio Ghibli anime style with whimsical details, Rainy background"
"ref_van-gogh_The Starry Night", "{prompt} of Post-Impressionist style with swirling strokes and vibrant colors, Starry background"
